origem,data,remetente,mensagem,mensagem_clean
instagram_csv,,curadobia,you sent an attachment.,you sent an attachment
instagram_csv,,curadobia,you sent an attachment.,you sent an attachment
instagram_csv,,cliente,😍,
instagram_csv,,cliente,curtiu uma mensagem,curtiu uma mensagem
instagram_csv,,cliente,😍 body mybasic,body mybasic
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,"oi bia, tudo bem? adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! não localizei tabela de medidas! porem, pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim! uso 46/48, a depender da confecção! pense com carinho em fazer uma curadoria para tamanhos normais! desejo muito sucesso nessa nova empreitada! que deus te abençoe! bjos!",oi bia tudo bem adorei a <user> o nome ficou demais e claro ja fui olhar as pecas nao localizei tabela de medidas porem pelo tamanho das pecas que vc veste o g provavelmente nao vai caber em mim uso <num> <num> a depender da confeccao pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abencoe bjos
instagram_csv,,cliente,brenda sent an attachment.,brenda sent an attachment
instagram_csv,,cliente,https://www.instagram.com/_nata.oficial?igsh=n204dxp5bzn6azbz,<url>
instagram_csv,,curadobia,"olá emilia, boa noite! tudo bem? agradecemos demais o feedback e pode ter certeza que uma das preocupações que estamos tendo é seguir na busca por marcas que tragam opções e grades que representam o maior número de corpos possível. sobre a tabela de medida, estamos buscando ajustar. obrigada por nos informar e seguiremos aprimorando cada vez mais. bjos!🌷",ola emilia boa noite tudo bem agradecemos demais o feedback e pode ter certeza que uma das preocupacoes que estamos tendo e seguir na busca por marcas que tragam opcoes e grades que representam o maior numero de corpos possivel sobre a tabela de medida estamos buscando ajustar obrigada por nos informar e seguiremos aprimorando cada vez mais bjos
instagram_csv,,cliente,obrigada! beijinhos,obrigada beijinhos
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,curadobia,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,link compartilhado,link compartilhado
instagram_csv,,cliente,[sem conteúdo detectável],sem conteudo detectavel
instagram_csv,,cliente,bia sent an attachment.,bia sent an attachment
